"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
2012,"A11",1,1,NA,NA
2013,"A11",0,0,NA,NA
2017,"A11",0,0,0,0
2018,"A11",0,0,0,0
2019,"A11",0,0,NA,NA
2020,"A11",0,0,NA,NA
2021,"A11",0,0,NA,NA
2008,"C01",0,0.33,0,1
2009,"C01",0,0.25,NA,NA
2010,"C01",0,0,0,0
2011,"C01",0.5,0.5,0.5,0.5
2012,"C01",0,0,0,0
2013,"C01",0,0.5,0,1
2014,"C01",0.25,0.75,0,1
2015,"C01",0.17,0.83,NA,NA
2016,"C01",0.33,0.33,1,1
2017,"C01",0.33,0.67,0,1
2018,"C01",0.4,0.6,1,1
2019,"C01",0.22,0.78,NA,NA
2020,"C01",0.33,1,NA,NA
2008,"C02",0.1,0.2,0.33,0.67
2009,"C02",0.42,0.63,0.62,0.85
2010,"C02",0.08,0.42,0,0
2011,"C02",0,0.38,0,0
2012,"C02",0.25,0.25,0.25,0.25
2013,"C02",0.19,0.38,0.2,0.4
2014,"C02",0.33,0.6,0.4,0.4
2015,"C02",0.19,0.54,0.25,0.33
2016,"C02",0.29,0.5,0.3,0.6
2017,"C02",0.21,0.36,0.33,0.5
2018,"C02",0.28,0.61,0.2,0.5
2019,"C02",0.25,0.81,0.8,1
2020,"C02",0.5,0.7,0.5,1
2021,"C02",0.09,0.32,0,0.25
2016,"C03",0,0,NA,NA
2008,"C04",0.07,0.18,0.13,0.32
2009,"C04",0.08,0.21,0.15,0.34
2010,"C04",0.11,0.26,0.2,0.38
2011,"C04",0.16,0.35,0.23,0.46
2012,"C04",0.21,0.42,0.21,0.45
2013,"C04",0.2,0.41,0.26,0.48
2014,"C04",0.26,0.5,0.32,0.55
2015,"C04",0.24,0.48,0.3,0.55
2016,"C04",0.28,0.46,0.35,0.56
2017,"C04",0.27,0.49,0.32,0.58
2018,"C04",0.3,0.53,0.36,0.61
2019,"C04",0.26,0.49,0.33,0.6
2020,"C04",0.34,0.53,0.41,0.65
2021,"C04",0.3,0.5,0.4,0.64
2008,"C05",0,0.36,0,0.56
2009,"C05",0.12,0.12,0.17,0.17
2010,"C05",0.27,0.36,0.4,0.6
2011,"C05",0.33,0.5,0.5,1
2012,"C05",0.23,0.69,0.33,0.89
2013,"C05",0.17,0.33,0,1
2014,"C05",0.33,0.67,0.2,0.4
2015,"C05",0.71,0.86,0.67,0.67
2016,"C05",0.33,0.42,0.67,0.83
2017,"C05",0.07,0.21,0.14,0.43
2018,"C05",0.5,0.81,0.56,0.89
2019,"C05",0.31,0.46,0.5,0.67
2020,"C05",0.15,0.62,0.2,0.6
2021,"C05",0.25,0.5,0.57,1
2008,"C06",0.13,0.22,0.22,0.34
2009,"C06",0.05,0.2,0.14,0.48
2010,"C06",0.07,0.19,0.13,0.28
2011,"C06",0.08,0.19,0.13,0.26
2012,"C06",0.2,0.38,0.15,0.32
2013,"C06",0.12,0.27,0.16,0.36
2014,"C06",0.23,0.42,0.26,0.43
2015,"C06",0.21,0.39,0.28,0.48
2016,"C06",0.21,0.36,0.31,0.49
2017,"C06",0.17,0.32,0.24,0.43
2018,"C06",0.18,0.36,0.22,0.44
2019,"C06",0.18,0.38,0.24,0.48
2020,"C06",0.28,0.46,0.37,0.63
2021,"C06",0.28,0.49,0.41,0.73
2008,"C07",0,0.11,0,0
2009,"C07",0.09,0.27,0,0.33
2010,"C07",0.08,0.25,0,0
2011,"C07",0.13,0.27,1,1
2012,"C07",0,0.4,0,0.75
2013,"C07",0,0.3,NA,NA
2014,"C07",0.19,0.48,0.17,0.17
2015,"C07",0.18,0.47,0,0.4
2016,"C07",0.27,0.5,0.5,0.83
2017,"C07",0.12,0.23,0.4,0.6
2018,"C07",0.17,0.44,0,0.33
2019,"C07",0.05,0.25,0,0.33
2020,"C07",0.35,0.39,0.5,0.5
2021,"C07",0.24,0.41,0.33,0.83
2008,"C08",0.08,0.17,0.18,0.31
2009,"C08",0.11,0.19,0.2,0.27
2010,"C08",0.14,0.28,0.29,0.4
2011,"C08",0.22,0.36,0.28,0.4
2012,"C08",0.24,0.43,0.21,0.44
2013,"C08",0.25,0.42,0.36,0.51
2014,"C08",0.22,0.54,0.28,0.6
2015,"C08",0.27,0.53,0.35,0.65
2016,"C08",0.36,0.56,0.4,0.7
2017,"C08",0.3,0.54,0.31,0.61
2018,"C08",0.29,0.43,0.39,0.57
2019,"C08",0.32,0.61,0.38,0.74
2020,"C08",0.41,0.54,0.5,0.66
2021,"C08",0.36,0.52,0.44,0.56
2008,"C09",0,0,0,0
2009,"C09",0.12,0.25,0,0.25
2010,"C09",0,0.25,0,0
2011,"C09",0.18,0.36,1,1
2012,"C09",0.17,0.33,0.33,0.67
2013,"C09",0,0.43,0,1
2014,"C09",0.18,0.45,1,1
2015,"C09",0,0.22,0,0.5
2016,"C09",0.2,0.4,0,0
2017,"C09",0.06,0.17,1,1
2018,"C09",0.08,0.42,0,0.5
2019,"C09",0.08,0.46,0,1
2020,"C09",0.47,0.47,0.8,0.8
2021,"C09",0.36,0.64,0.67,1
2008,"C10",0,0.08,0,0.29
2009,"C10",0.03,0.16,0.11,0.22
2010,"C10",0.05,0.29,0,0
2011,"C10",0.06,0.25,0,0.5
2012,"C10",0.24,0.39,0.5,0.8
2013,"C10",0.14,0.41,0.18,0.45
2014,"C10",0.13,0.44,0.31,0.62
2015,"C10",0.37,0.53,0.4,0.6
2016,"C10",0.35,0.63,0.47,0.6
2017,"C10",0.27,0.41,0.47,0.65
2018,"C10",0.34,0.51,0.33,0.67
2019,"C10",0.36,0.49,0.53,0.76
2020,"C10",0.48,0.7,0.47,0.76
2021,"C10",0.35,0.55,0.5,0.75
2008,"C11",0,0,NA,NA
2009,"C11",0,0.5,0,1
2010,"C11",0.33,0.67,0,1
2011,"C11",0,0.5,0,1
2012,"C11",0.5,0.75,1,1
2013,"C11",0,0.67,NA,NA
2014,"C11",0.14,0.43,0,0
2015,"C11",0.14,0.57,0,0
2016,"C11",0.64,0.91,0.86,0.86
2017,"C11",0.25,0.5,0.5,1
2018,"C11",0.25,0.75,0,1
2019,"C11",0.25,0.5,0,0
2020,"C11",0.17,0.33,0,0.5
2021,"C11",0.2,0.4,0.33,0.67
2008,"C12",0.07,0.15,0.12,0.24
2009,"C12",0.13,0.24,0.24,0.37
2010,"C12",0.11,0.32,0.26,0.55
2011,"C12",0.19,0.45,0.29,0.6
2012,"C12",0.22,0.45,0.24,0.46
2013,"C12",0.23,0.52,0.27,0.56
2014,"C12",0.27,0.52,0.32,0.54
2015,"C12",0.27,0.58,0.34,0.69
2016,"C12",0.26,0.48,0.26,0.51
2017,"C12",0.25,0.54,0.27,0.5
2018,"C12",0.42,0.64,0.44,0.68
2019,"C12",0.3,0.46,0.3,0.49
2020,"C12",0.41,0.57,0.46,0.63
2021,"C12",0.28,0.49,0.32,0.55
2008,"C13",0.1,0.19,0.17,0.31
2009,"C13",0.14,0.25,0.32,0.47
2010,"C13",0.08,0.29,0.19,0.54
2011,"C13",0.14,0.34,0.22,0.56
2012,"C13",0.17,0.44,0.22,0.48
2013,"C13",0.19,0.47,0.24,0.48
2014,"C13",0.2,0.48,0.32,0.58
2015,"C13",0.22,0.52,0.33,0.67
2016,"C13",0.23,0.44,0.23,0.5
2017,"C13",0.29,0.5,0.32,0.47
2018,"C13",0.33,0.52,0.36,0.6
2019,"C13",0.24,0.44,0.25,0.5
2020,"C13",0.34,0.49,0.42,0.6
2021,"C13",0.27,0.5,0.33,0.6
2008,"C14",0.02,0.12,0.1,0.5
2009,"C14",0.06,0.23,0.11,0.32
2010,"C14",0.17,0.29,0.25,0.44
2011,"C14",0.16,0.32,0.33,0.58
2012,"C14",0.28,0.53,0.25,0.55
2013,"C14",0.18,0.45,0.28,0.66
2014,"C14",0.36,0.66,0.44,0.75
2015,"C14",0.21,0.55,0.17,0.39
2016,"C14",0.47,0.58,0.47,0.56
2017,"C14",0.33,0.61,0.33,0.71
2018,"C14",0.32,0.68,0.35,0.7
2019,"C14",0.53,0.76,0.76,0.86
2020,"C14",0.35,0.61,0.37,0.53
2021,"C14",0.4,0.69,0.54,0.75
2008,"C15",0.03,0.17,0.06,0.35
2009,"C15",0.06,0.21,0.1,0.31
2010,"C15",0.12,0.26,0.22,0.36
2011,"C15",0.18,0.39,0.31,0.51
2012,"C15",0.21,0.45,0.22,0.48
2013,"C15",0.19,0.38,0.25,0.47
2014,"C15",0.33,0.56,0.36,0.56
2015,"C15",0.23,0.49,0.29,0.52
2016,"C15",0.35,0.53,0.37,0.56
2017,"C15",0.32,0.61,0.37,0.68
2018,"C15",0.31,0.61,0.32,0.63
2019,"C15",0.35,0.64,0.43,0.69
2020,"C15",0.36,0.61,0.41,0.67
2021,"C15",0.3,0.54,0.44,0.69
2008,"C16",0,0.25,0,0.33
2009,"C16",0.14,0.29,NA,NA
2010,"C16",0.25,0.5,1,1
2011,"C16",0,0.4,NA,NA
2012,"C16",0.25,0.62,0.5,1
2013,"C16",0.18,0.36,0.2,0.4
2014,"C16",0.21,0.58,0.2,0.4
2015,"C16",0.18,0.45,0,0
2016,"C16",0.46,0.69,0.5,0.5
2017,"C16",0.08,0.33,0.33,0.67
2018,"C16",0.33,0.67,0.33,0.33
2019,"C16",0.1,0.8,0,0.8
2020,"C16",0.27,0.47,0.38,0.5
2021,"C16",0.29,0.5,1,1
2008,"C17",0.07,0.25,0.12,0.37
2009,"C17",0.07,0.21,0.14,0.36
2010,"C17",0.12,0.26,0.22,0.4
2011,"C17",0.17,0.4,0.19,0.44
2012,"C17",0.2,0.43,0.19,0.48
2013,"C17",0.17,0.42,0.25,0.48
2014,"C17",0.28,0.53,0.38,0.63
2015,"C17",0.2,0.41,0.28,0.45
2016,"C17",0.25,0.44,0.4,0.62
2017,"C17",0.28,0.49,0.33,0.65
2018,"C17",0.31,0.55,0.39,0.61
2019,"C17",0.22,0.49,0.27,0.61
2020,"C17",0.32,0.51,0.44,0.74
2021,"C17",0.38,0.56,0.47,0.67
2008,"C18",0,0,NA,NA
2009,"C18",0.25,0.25,0.33,0.33
2010,"C18",0.25,0.5,0.5,1
2011,"C18",0.25,0.75,0,1
2012,"C18",0.3,0.5,0.25,0.25
2013,"C18",0.27,0.36,0.33,0.67
2014,"C18",0.17,0.83,0,0.8
2015,"C18",0.33,1,0,1
2016,"C18",0.1,0.2,0.5,0.5
2017,"C18",0,0.14,0,1
2018,"C18",0.25,0.5,1,1
2019,"C18",0.19,0.5,0.6,0.8
2020,"C18",0.2,0.47,0.25,0.25
2021,"C18",0.22,0.56,0.67,1
2008,"C19",0.02,0.07,0.05,0.1
2009,"C19",0.08,0.22,0.24,0.4
2010,"C19",0.07,0.31,0.15,0.48
2011,"C19",0.07,0.28,0.07,0.48
2012,"C19",0.22,0.43,0.28,0.36
2013,"C19",0.13,0.43,0.19,0.52
2014,"C19",0.23,0.49,0.25,0.5
2015,"C19",0.21,0.48,0.32,0.61
2016,"C19",0.27,0.46,0.33,0.5
2017,"C19",0.28,0.47,0.35,0.58
2018,"C19",0.24,0.43,0.32,0.4
2019,"C19",0.26,0.42,0.33,0.5
2020,"C19",0.4,0.52,0.55,0.61
2021,"C19",0.27,0.5,0.37,0.67
2008,"C20",0.02,0.1,0.05,0.25
2009,"C20",0.05,0.19,0.11,0.3
2010,"C20",0.13,0.28,0.2,0.36
2011,"C20",0.2,0.4,0.34,0.59
2012,"C20",0.19,0.42,0.17,0.4
2013,"C20",0.17,0.4,0.23,0.51
2014,"C20",0.34,0.59,0.37,0.63
2015,"C20",0.24,0.5,0.3,0.5
2016,"C20",0.4,0.59,0.4,0.59
2017,"C20",0.3,0.57,0.37,0.66
2018,"C20",0.34,0.67,0.32,0.66
2019,"C20",0.39,0.7,0.56,0.8
2020,"C20",0.38,0.63,0.44,0.71
2021,"C20",0.31,0.57,0.44,0.71
2008,"C23",0.02,0.24,0.05,0.42
2009,"C23",0.13,0.22,0.27,0.43
2010,"C23",0.12,0.31,0.26,0.37
2011,"C23",0.13,0.39,0.25,0.45
2012,"C23",0.27,0.58,0.35,0.6
2013,"C23",0.21,0.48,0.31,0.49
2014,"C23",0.36,0.61,0.4,0.6
2015,"C23",0.21,0.53,0.2,0.48
2016,"C23",0.28,0.53,0.31,0.57
2017,"C23",0.26,0.52,0.36,0.6
2018,"C23",0.32,0.57,0.31,0.59
2019,"C23",0.28,0.5,0.36,0.64
2020,"C23",0.39,0.62,0.42,0.74
2021,"C23",0.27,0.5,0.33,0.62
2012,"F01",0,0,NA,NA
2017,"F01",0,0,NA,NA
2020,"F01",0,0,NA,NA
2021,"F01",0,0,NA,NA
2008,"F03",0,0,NA,NA
2009,"F03",0,0,NA,NA
2010,"F03",0,0.5,NA,NA
2011,"F03",0,0,NA,NA
2012,"F03",0,0.5,NA,NA
2013,"F03",0,0.33,NA,NA
2014,"F03",0.5,1,NA,NA
2015,"F03",0,1,NA,NA
