"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr"
"2008","C20",0.02,0.1,0.05,0.25
"2009","C20",0.05,0.19,0.11,0.3
"2010","C20",0.13,0.28,0.2,0.36
"2011","C20",0.2,0.4,0.34,0.59
"2012","C20",0.19,0.42,0.17,0.4
"2013","C20",0.17,0.4,0.23,0.51
"2014","C20",0.34,0.59,0.37,0.63
"2015","C20",0.24,0.5,0.3,0.5
"2016","C20",0.4,0.59,0.4,0.59
"2017","C20",0.3,0.57,0.37,0.66
"2018","C20",0.34,0.67,0.32,0.66
"2019","C20",0.39,0.7,0.56,0.8
"2020","C20",0.38,0.63,0.44,0.71
"2021","C20",0.31,0.57,0.44,0.71
