"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
"2008","C05",0,0.36,0,0.56,0,0,0,1,0,0,0,1.25
"2009","C05",0.12,0.12,0.17,0.17,0.17,0.17,NA,NA,0.5,0.5,0,0
"2010","C05",0.27,0.36,0.4,0.6,0.5,1,0,0,Inf,Inf,0,0
"2011","C05",0.33,0.5,0.5,1,NA,NA,0.5,1,NA,NA,Inf,Inf
"2012","C05",0.23,0.69,0.33,0.89,0.43,0.86,0,1,1,2,0,0.67
"2013","C05",0.17,0.33,0,1,NA,NA,0,1,0,0,NA,Inf
"2014","C05",0.33,0.67,0.2,0.4,0,0.25,1,1,0,0.33,0.5,0.5
"2015","C05",0.71,0.86,0.67,0.67,0.67,0.67,NA,NA,0.67,0.67,NA,NA
"2016","C05",0.33,0.42,0.67,0.83,0.75,0.75,0.5,1,0.6,0.6,1,2
"2017","C05",0.07,0.21,0.14,0.43,0.2,0.6,0,0,0.33,1,0,0
"2018","C05",0.5,0.81,0.56,0.89,0.67,1,0.33,0.67,0.67,1,0.33,0.67
"2019","C05",0.31,0.46,0.5,0.67,0.4,0.6,1,1,0.4,0.6,1,1
"2020","C05",0.15,0.62,0.2,0.6,0.25,0.5,0,1,0.29,0.57,0,0.67
"2021","C05",0.25,0.5,0.57,1,0.4,1,1,1,0.33,0.83,2,2
