"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
2012,"A11",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"A11",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"A11",0,0,0,0,0,0,NA,NA,NA,NA,0,0
2018,"A11",0,0,0,0,0,0,NA,NA,NA,NA,0,0
2019,"A11",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"A11",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"A11",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"C01",0,0.33,0,1,NA,NA,0,1,NA,NA,0,1
2009,"C01",0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"C01",0,0,0,0,NA,NA,0,0,0,0,NA,NA
2011,"C01",0.5,0.5,0.5,0.5,0.5,0.5,NA,NA,0.5,0.5,NA,NA
2012,"C01",0,0,0,0,0,0,NA,NA,0,0,NA,NA
2013,"C01",0,0.5,0,1,0,1,NA,NA,0,1,NA,NA
2014,"C01",0.25,0.75,0,1,0,1,NA,NA,NA,Inf,0,0
2015,"C01",0.17,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"C01",0.33,0.33,1,1,1,1,NA,NA,1,1,NA,NA
2017,"C01",0.33,0.67,0,1,0,1,NA,NA,0,1,NA,NA
2018,"C01",0.4,0.6,1,1,1,1,NA,NA,1,1,NA,NA
2019,"C01",0.22,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"C01",0.33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"C02",0.1,0.2,0.33,0.67,NA,NA,0.33,0.67,NA,NA,1,2
2009,"C02",0.42,0.63,0.62,0.85,0,1,0.73,0.82,0,0.5,8,9
2010,"C02",0.08,0.42,0,0,0,0,NA,NA,NA,NA,0,0
2011,"C02",0,0.38,0,0,NA,NA,0,0,0,0,NA,NA
2012,"C02",0.25,0.25,0.25,0.25,0.33,0.33,0,0,0.5,0.5,0,0
2013,"C02",0.19,0.38,0.2,0.4,0,0,0.5,1,0,0,0.5,1
2014,"C02",0.33,0.6,0.4,0.4,0.5,0.5,0.33,0.33,0.33,0.33,1,1
2015,"C02",0.19,0.54,0.25,0.33,0.29,0.29,0.2,0.4,0.4,0.4,0.25,0.5
2016,"C02",0.29,0.5,0.3,0.6,0.14,0.43,0.67,1,0.14,0.43,2,3
2017,"C02",0.21,0.36,0.33,0.5,0,0,0.5,0.75,0,0,2,3
2018,"C02",0.28,0.61,0.2,0.5,0,0.29,0.67,1,0,0.4,0.4,0.6
2019,"C02",0.25,0.81,0.8,1,0.75,1,1,1,0.75,1,1,1
2020,"C02",0.5,0.7,0.5,1,0,1,1,1,0,0.5,Inf,Inf
2021,"C02",0.09,0.32,0,0.25,NA,NA,0,0.25,0,0,0,1
2016,"C03",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"C04",0.07,0.18,0.13,0.32,0.14,0.31,0.04,0.39,0.22,0.49,0.01,0.09
2009,"C04",0.08,0.21,0.15,0.34,0.15,0.34,0.18,0.36,0.24,0.53,0.04,0.08
2010,"C04",0.11,0.26,0.2,0.38,0.2,0.37,0.21,0.42,0.35,0.64,0.04,0.08
2011,"C04",0.16,0.35,0.23,0.46,0.24,0.45,0.17,0.54,0.38,0.71,0.03,0.11
2012,"C04",0.21,0.42,0.21,0.45,0.22,0.45,0.15,0.39,0.35,0.73,0.03,0.08
2013,"C04",0.2,0.41,0.26,0.48,0.27,0.5,0.13,0.27,0.39,0.73,0.03,0.06
2014,"C04",0.26,0.5,0.32,0.55,0.32,0.55,0.35,0.56,0.48,0.83,0.08,0.13
2015,"C04",0.24,0.48,0.3,0.55,0.3,0.54,0.32,0.61,0.41,0.73,0.1,0.19
2016,"C04",0.28,0.46,0.35,0.56,0.34,0.56,0.34,0.57,0.48,0.77,0.11,0.19
2017,"C04",0.27,0.49,0.32,0.58,0.34,0.59,0.16,0.51,0.5,0.87,0.04,0.13
2018,"C04",0.3,0.53,0.36,0.61,0.36,0.62,0.33,0.59,0.57,0.96,0.07,0.12
